Phenotype description	Gene name
brain hydrocephalic	cacna1c
cardiac conduction rhythm quality	cacna1c
cardiac muscle cell decreased volume	cacna1c
cardiac muscle cell part_of cardiac ventricle non-contractile	cacna1c
cardiac muscle contraction irregular rhythm	cacna1c
cardiac ventricle decreased size	cacna1c
cardiac ventricle morphology	cacna1c
cardiac ventricle non-functional	cacna1c
cell population proliferation decreased occurrence	cacna1c
chondrocyte part_of Meckel's cartilage decreased size	cacna1c
determination of heart left/right asymmetry disrupted	cacna1c
glucose part_of whole organism increased amount	cacna1c
habituation decreased rate	cacna1c
heart contraction arrested	cacna1c
heart contraction disrupted	cacna1c
heart contraction irregular rhythm	cacna1c
heart contraction process quality	cacna1c
heart looping disrupted	cacna1c
heart contractility	cacna1c
heart decreased contractility	cacna1c
heart quality	cacna1c
mandibular arch skeleton morphology	cacna1c
pancreatic B cell increased amount	cacna1c
pericardium edematous	cacna1c
prepulse inhibition increased magnitude	cacna1c
pronephric duct cystic	cacna1c
pronephric duct dilated	cacna1c
pronephric glomerulus unfused from	cacna1c
pronephric podocyte unfused from	cacna1c
response to absence of light increased process quality	cacna1c
startle response decreased magnitude	cacna1c
swimming decreased frequency	cacna1c
swimming decreased linear velocity	cacna1c
swimming decreased occurrence	cacna1c
swimming decreased spatial extent of a process	cacna1c
ventral mandibular arch decreased size	cacna1c
ventricular myocardium decreased thickness	cacna1c
ventricular myocardium non-functional	cacna1c
yolk edematous	cacna1c
bone development decreased process quality	wrn
bone element part_of cranium decreased amount	wrn
bone growth decreased process quality	wrn
bone tissue part_of cranium decreased amount	wrn
brain decreased amount	wrn
cell division occurs_in notochord outer sheath cell decreased process quality	wrn
centrum absent	wrn
chondrocyte decreased amount	wrn
heart decreased amount	wrn
integument decreased amount	wrn
liver decreased amount	wrn
muscle decreased amount	wrn
notochord cell vacuolation occurs_in notochord decreased process quality	wrn
notochord outer sheath cell decreased amount	wrn
notochord outer sheath cell disorganized	wrn
osteocyte decreased distribution	wrn
vertebra decreased amount	wrn
whole organism decreased amount	wrn
whole organism decreased length	wrn
whole organism increased amount	wrn
	slc34a1b
	ndufa10
	malt1
	prph2a
	tnnc2
atrium increased size	pkp2
blood increased accumulation	pkp2
cardiac ventricle morphology	pkp2
cell-cell junction part_of heart structure	pkp2
desmosome part_of heart decreased amount	pkp2
heart contraction decreased rate	pkp2
heart looping arrested	pkp2
heart looping disrupted	pkp2
pericardium edematous	pkp2
post-vent region kinked	pkp2
axon part_of hindbrain decreased amount	lifrb
axon part_of optic tectum decreased amount	lifrb
cranial nerve V decreased size	lifrb
cranial nerve VII decreased size	lifrb
cranial nerve X mislocalised	lifrb
hindbrain hydrocephalic	lifrb
nervous system development disrupted	lifrb
liver part_of male organism decreased amount	stat5b
liver part_of male organism increased amount	stat5b
aggressive behavior increased duration	fgfr1a
aggressive behavior increased occurrence	fgfr1a
aggressive behavior occurs_in female organism increased duration	fgfr1a
aggressive behavior occurs_in male organism increased duration	fgfr1a
apoptotic process occurs_in hindbrain increased process quality	fgfr1a
axon part_of cranial nerve I mislocalised	fgfr1a
axon part_of integument orientation	fgfr1a
behavior process quality	fgfr1a
brain increased amount	fgfr1a
cell population proliferation occurs_in regenerating tissue increased occurrence	fgfr1a
cilium part_of Kupffer's vesicle decreased amount	fgfr1a
cilium part_of Kupffer's vesicle decreased length	fgfr1a
cranial motor neuron part_of rhombomere 7 decreased amount	fgfr1a
exploration behavior increased occurrence	fgfr1a
histamine part_of brain decreased amount	fgfr1a
inferior lobe decreased amount	fgfr1a
innervation occurs_in integument process quality	fgfr1a
neuromast hair cell increased amount	fgfr1a
olfactory bulb glomerulus malformed	fgfr1a
olfactory bulb glomerulus morphology	fgfr1a
olfactory epithelium morphology	fgfr1a
olfactory nerve formation process quality	fgfr1a
posterior lateral line neuromast decreased amount	fgfr1a
scale decreased amount	fgfr1a
scale increased size	fgfr1a
scale patchy	fgfr1a
skin morphogenesis process quality	fgfr1a
superior raphe nucleus increased amount	fgfr1a
swimming behavior increased occurrence	fgfr1a
whole organism decreased amount	fgfr1a
	fkbp14
	crybb2
	emg1
female organism absent	fancd2
female sex determination decreased occurrence	fancd2
male organism increased amount	fancd2
male sex determination increased occurrence	fancd2
	bach2b
	prkacba
anterior region part_of lens increased amount	vps45
anterior region part_of lens increased distribution	vps45
anterior region part_of lens mislocalised	vps45
early endosome to late endosome transport occurs_in lens epithelium decreased occurrence	vps45
early endosome to recycling endosome transport occurs_in lens epithelium decreased occurrence	vps45
lens epithelium decreased amount	vps45
lens epithelium increased amount	vps45
lens epithelium increased distribution	vps45
lens epithelium increased thickness	vps45
lens epithelium mislocalised	vps45
lens fiber cell differentiation decreased occurrence	vps45
lens fiber cell differentiation process quality	vps45
lens fiber cell morphogenesis process quality	vps45
lens decreased diameter	vps45
neutrophil decreased amount	vps45
swim bladder uninflated	vps45
	nras
Z disc part_of cardiac muscle cell malformed	orai1b
Z disc part_of skeletal muscle cell decreased amount	orai1b
blood circulation decreased rate	orai1b
detection of muscle stretch process quality	orai1b
heart contraction decreased magnitude	orai1b
heart contraction decreased rate	orai1b
heart edematous	orai1b
heart physical object quality	orai1b
myofibril part_of myotome detached from	orai1b
myofibril part_of skeletal muscle cell disorganized	orai1b
sarcomere organization decreased process quality	orai1b
sarcomere part_of cardiac muscle cell decreased amount	orai1b
sarcomere part_of cardiac muscle cell decreased thickness	orai1b
vertical myoseptum malformed	orai1b
DEL detached from	cdh1
DEL position	cdh1
Rohon-Beard neuron mislocalised	cdh1
actin filament part_of forerunner cell group structure	cdh1
anterior region part_of spinal cord morphology	cdh1
anterior-posterior axis part_of whole organism decreased length	cdh1
cell migration involved in gastrulation decreased rate	cdh1
cell part_of neural tube mislocalised	cdh1
cell-cell adhesion involved in gastrulation decreased process quality	cdh1
cell-cell adhesion involved in mesendodermal cell migration disrupted	cdh1
chordate embryonic development arrested	cdh1
epiboly involved in gastrulation with mouth forming second arrested	cdh1
epiboly involved in gastrulation with mouth forming second disrupted	cdh1
filopodium part_of axial hypoblast decreased amount	cdh1
forerunner cell group decreased amount	cdh1
hatching gland increased size	cdh1
hatching gland mislocalised	cdh1
heart looping disrupted	cdh1
heart looping process quality	cdh1
heart tube position	cdh1
homotypic cell-cell adhesion arrested	cdh1
mesodermal cell part_of lateral mesoderm decreased speed	cdh1
mesodermal cell part_of lateral mesoderm misrouted	cdh1
nervous system flattened	cdh1
neuron part_of trigeminal ganglion disorganized	cdh1
neuron part_of trigeminal ganglion distributed	cdh1
notochord kinked	cdh1
polster decreased length	cdh1
polster mislocalised	cdh1
polster morphology	cdh1
post-vent region quality	cdh1
posterior region part_of hindbrain morphology	cdh1
somite increased width	cdh1
tail bud decreased size	cdh1
trigeminal ganglion mislocalised laterally	cdh1
whole organism lethal (sensu genetics)	cdh1
whole organism necrotic	cdh1
whole organism quality	cdh1
yolk quality	cdh1
brain absent	hepacama
brain increased amount	hepacama
glial cell projection part_of radial glial cell absent	hepacama
glial limiting end-foot part_of Muller cell absent	hepacama
inner limiting membrane absent	hepacama
optic tract absent	hepacama
preoptic area absent	hepacama
telencephalon increased size	hepacama
	gatm
apoptotic process occurs_in retinal outer nuclear layer increased occurrence	prom1b
cone photoreceptor outer segment part_of red sensitive photoreceptor cell mislocalised	prom1b
cone photoreceptor outer segment part_of red sensitive photoreceptor cell spatial pattern	prom1b
eye photoreceptor cell part_of retinal outer nuclear layer sparse	prom1b
photoreceptor cell outer segment organization occurs_in eye photoreceptor cell decreased process quality	prom1b
photoreceptor disc membrane part_of eye photoreceptor cell disorganized	prom1b
photoreceptor disc membrane part_of eye photoreceptor cell malformed	prom1b
photoreceptor outer segment part_of eye photoreceptor cell malformed	prom1b
retina absent	prom1b
retina decreased amount	prom1b
retina increased amount	prom1b
retinal photoreceptor layer has fewer parts of type	prom1b
rod photoreceptor outer segment part_of retinal rod cell increased length	prom1b
rod photoreceptor outer segment part_of retinal rod cell mislocalised	prom1b
rod photoreceptor outer segment part_of retinal rod cell spatial pattern	prom1b
whole organism decreased amount	prom1b
	trhra
axon guidance occurs_in secondary motor neuron process quality	kif1b
axon part_of secondary motor neuron absent	kif1b
axon part_of secondary motor neuron defasciculated	kif1b
axon part_of secondary motor neuron morphology	kif1b
axon part_of secondary motor neuron split	kif1b
axon part_of spinal cord decreased amount	kif1b
axon part_of spinal cord decreased length	kif1b
blood island has fewer parts of type	kif1b
caudal fin has fewer parts of type GO:0030424	kif1b
compact myelin part_of hindbrain decreased amount	kif1b
myelin assembly disrupted	kif1b
oligodendrocyte part_of hindbrain morphology	kif1b
oligodendrocyte part_of spinal cord morphology	kif1b
posterior lateral line nerve decreased length	kif1b
swim bladder collapsed	kif1b
thrombocyte decreased amount	kif1b
whole organism lethal (sensu genetics)	kif1b
	exoc6b
	pi4kab
	dhtkd1
	ckap2l
	flrt3
	slc6a5
Meckel's cartilage decreased length	fgf8a
Meckel's cartilage-palatoquadrate cartilage joint decreased width	fgf8a
alar plate midbrain region morphology	fgf8a
anatomical system quality	fgf8a
anterior cardinal vein absent	fgf8a
anterior region part_of head decreased width	fgf8a
apoptotic process increased occurrence	fgf8a
blood circulation decreased functionality	fgf8a
blood circulation disrupted	fgf8a
blood vessel part_of hindbrain absent	fgf8a
blood vessel part_of midbrain hindbrain boundary absent	fgf8a
blood vessel part_of optic tectum absent	fgf8a
blood vessel part_of pharyngeal arch absent	fgf8a
bone mineralization occurs_in branchiostegal ray 1 decreased occurrence	fgf8a
bone mineralization occurs_in ceratobranchial 5 bone decreased occurrence	fgf8a
bone mineralization occurs_in ceratobranchial 5 tooth decreased occurrence	fgf8a
bone mineralization occurs_in cleithrum decreased occurrence	fgf8a
bone mineralization occurs_in entopterygoid decreased occurrence	fgf8a
bone mineralization occurs_in notochord decreased occurrence	fgf8a
bone mineralization occurs_in opercle decreased occurrence	fgf8a
bone mineralization occurs_in otolith decreased occurrence	fgf8a
bone mineralization occurs_in parasphenoid decreased occurrence	fgf8a
brain apoptotic	fgf8a
brain quality	fgf8a
cardiac muscle cell part_of atrium decreased amount	fgf8a
cardiac muscle cell part_of cardiac ventricle decreased amount	fgf8a
cardiac ventricle decreased length	fgf8a
cardiac ventricle hypotrophic	fgf8a
cartilage development disrupted	fgf8a
cell proliferation in hindbrain disrupted	fgf8a
cell proliferation in midbrain disrupted	fgf8a
central nervous system development disrupted	fgf8a
ceratobranchial cartilage decreased amount	fgf8a
ceratohyal bone decreased length	fgf8a
cerebellum development decreased process quality	fgf8a
cerebellum development disrupted	fgf8a
cerebellum absent	fgf8a
cerebellum aplastic	fgf8a
cerebellum morphology	fgf8a
chondrocranium bilateral symmetry	fgf8a
cilium part_of Kupffer's vesicle decreased amount	fgf8a
cilium part_of Kupffer's vesicle decreased length	fgf8a
determination of left/right symmetry disrupted	fgf8a
dorsal habenular nucleus poorly differentiated	fgf8a
dorsal region part_of brain vasculature absent	fgf8a
dorsal region part_of diencephalon decreased amount	fgf8a
dorsal region part_of diencephalon decreased distribution	fgf8a
embryonic retina morphogenesis in camera-type eye decreased process quality	fgf8a
epithelial cell migration occurs_in pharyngeal pouch process quality	fgf8a
ethmoid cartilage decreased length	fgf8a
eye decreased amount	fgf8a
fibroblast growth factor receptor signaling pathway process quality	fgf8a
forebrain neural rod absent	fgf8a
forebrain absent	fgf8a
forebrain decreased amount	fgf8a
forerunner cell group distributed	fgf8a
habenula development decreased process quality	fgf8a
head decreased size	fgf8a
heart development disrupted	fgf8a
heart development process quality	fgf8a
heart rudiment decreased size	fgf8a
heart decreased length	fgf8a
heart decreased size	fgf8a
heart dysplastic	fgf8a
heart morphology	fgf8a
heart shape	fgf8a
hindbrain apoptotic	fgf8a
hindbrain decreased amount	fgf8a
inner ear decreased size	fgf8a
inner ear has fewer parts of type	fgf8a
inner ear quality	fgf8a
intersegmental vessel absent	fgf8a
lens morphology	fgf8a
locus ceruleus development disrupted	fgf8a
locus coeruleus absent	fgf8a
locus coeruleus aplastic	fgf8a
midbrain hindbrain boundary neural rod absent	fgf8a
midbrain hindbrain boundary neural rod decreased amount	fgf8a
midbrain hindbrain boundary neural rod morphology	fgf8a
midbrain hindbrain boundary absent	fgf8a
